,dealer,msrp_total,msrp_base,model_title,color,VIN
0,27021,27694.0,27694.0,RAV4 LE FWD 2.5L 4-Cyl.,Super White,2T3H1RFV8MW169546
0,27021,38359.0,38359.0,RAV4 XLE Premium Hybrid AWD,Blueprint,4T3B6RFV0MU053541
0,27021,38359.0,38359.0,RAV4 XLE Premium Hybrid AWD,Blueprint,4T3B6RFVXMU053787
0,04739,40051.0,40051.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFVXMU054760
0,04739,40051.0,40051.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV2MU053795
0,04080,36043.0,36043.0,RAV4 XLE Premium Hybrid AWD,Lunar Rock,JTMB6RFV2MD039167
0,04080,41734.0,41734.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl [extra_cost_color],4T3D6RFV2MU050780
0,04159,34863.0,34863.0,RAV4 XLE Premium FWD 2.5L 4-Cyl.,Midnight Black Metallic,2T3C1RFVXMC159452
0,04159,39607.0,39607.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Magnetic Gray Metallic/Midnight Black Metallic roof,4T3E6RFV0MU050037
0,04159,40032.0,40032.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV6MU051368
0,04159,40156.0,40156.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blizzard Pearl / Midnight Black Metallic roof [extra_cost_color],4T3E6RFV3MU052476
0,04159,41147.0,41147.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Midnight Black Metallic,4T3D6RFV3MU054708
0,04102,40394.0,40394.0,RAV4 XSE Electronic-AWD 2.5L 4-Cyl. Hybrid,Blueprint / Midnight Black Metallic roof,4T3E6RFV7MU054814
0,04102,42359.0,42359.0,RAV4 Limited Electronic-AWD 2.5L 4-Cyl. Hybrid,Silver Sky Metallic,4T3D6RFV1MU054027
0,04308,35272.0,35272.0,RAV4 XLE Electronic-AWD 2.5L 4-Cyl. Hybrid,Ruby Flare Pearl [extra_cost_color],4T3RWRFV0MU032249
0,04308,36760.0,36760.0,RAV4 XLE Premium Hybrid AWD,Midnight Black Metallic,JTMB6RFV5MD038966
